CAMERA ID,TOTAL_VIOLATIONS_2023,INTERSECTION,LATITUDE,LONGITUDE
2034.0,2243,CICERO AND NORTH,41.90973389013,-87.74624497296
2043.0,3002,LARAMIE AND MADISON,41.8804807517,-87.75513043297
2044.0,1694,LARAMIE AND MADISON,41.8804807517,-87.75513043297
2052.0,8930,VAN BUREN AND WESTERN,41.87606477643,-87.68641563099
2081.0,7105,ARCHER AND CICERO,41.79855827819,-87.74307186616
2084.0,1243,ARCHER AND CICERO,41.79875820784,-87.74302054146
2091.0,1406,35TH AND WESTERN,41.83018725527,-87.6851779251
2092.0,2051,35TH AND WESTERN,41.83018725527,-87.6851779251
2101.0,1945,KEDZIE AND 47TH,41.80804727165,-87.7041188223
2104.0,1362,KEDZIE AND 47TH,41.80822624624,-87.70403167216
2123.0,1815,31ST ST AND MARTIN LUTHER KING DRIVE,41.83853401812,-87.61704611346
2132.0,1200,KEDZIE AND 31ST,41.83713267142,-87.70496711479
2134.0,1515,KEDZIE AND 31ST,41.8373395003,-87.704950558
2141.0,647,4700 WESTERN,41.80837840795,-87.6845707169
2142.0,2061,4700 WESTERN,41.80837840795,-87.6845707169
2153.0,949,PULASKI AND ARCHER,41.80236597334,-87.72357676611
2154.0,913,PULASKI AND ARCHER,41.80236597334,-87.72357676611
2162.0,890,55TH AND KEDZIE,41.79342023676,-87.70369750845
2163.0,936,55TH AND KEDZIE,41.7936228033,-87.70361814062
2202.0,705,CICERO AND 47TH,41.80753037289,-87.74329682124
2204.0,2366,CICERO AND 47TH,41.80772701677,-87.74322936566
2212.0,1867,55TH AND WESTERN,41.79337055433,-87.68417537676
2213.0,1061,55TH AND WESTERN,41.79398134657,-87.68414174128
2222.0,2936,OGDEN AND KOSTNER,41.84806884496,-87.73454745748
2223.0,4856,OGDEN AND KOSTNER,41.8477775228,-87.73450596875
2233.0,3629,ROOSEVELT AND HALSTED,41.86726309837,-87.64697268602
2234.0,4560,ROOSEVELT AND HALSTED,41.86726309837,-87.64697268602
2242.0,1340,55TH and PULASKI,41.79315506073,-87.72330376464
2244.0,1550,55TH and PULASKI,41.79331333359,-87.72322303813
2251.0,24392,CICERO AND I55,41.81672938675,-87.74353671248
2252.0,3521,CICERO AND I55,41.81672938675,-87.74353671248
2264.0,12357,WENTWORTH AND GARFIELD,41.79467038469,-87.63054747606
2291.0,2990,CANAL AND ROOSEVELT,41.86717512472,-87.63937581258
2294.0,4466,CANAL AND ROOSEVELT,41.86736269262,-87.63929319464
2311.0,2495,ROOSEVELT AND PULASKI,41.86607933722,-87.72530599488
2314.0,3883,ROOSEVELT AND PULASKI,41.86628100266,-87.72523421984
2321.0,2378,ROOSEVELT AND KOSTNER,41.86593883891,-87.73510854901
2323.0,2175,ROOSEVELT AND KOSTNER,41.86614086764,-87.73508956008
2332.0,1724,CERMAK AND PULASKI,41.85152144233,-87.72490478675
2334.0,2227,CERMAK AND PULASKI,41.85165436868,-87.72488297531
2342.0,1582,PULASKI AND 63RD,41.77863646878,-87.72290635569
2343.0,1362,PULASKI AND 63RD,41.77876739008,-87.7228231953
2352.0,1864,KEDZIE AND 71ST,41.76429503676,-87.70295716212
2354.0,1215,KEDZIE AND 71ST,41.76449743257,-87.70287702336
2361.0,1004,KEDZIE AND 63RD,41.77894575018,-87.703283119
2364.0,1173,KEDZIE AND 63RD,41.77908150488,-87.70326036545
2371.0,1152,WESTERN AND 63RD,41.77912348384,-87.68378309864
2373.0,1309,WESTERN AND 63RD,41.7793318443,-87.68367576085
2381.0,2013,KEDZIE AND 26TH,41.84442483084,-87.70518545233
2382.0,1762,KEDZIE AND 26TH,41.84442483084,-87.70518545233
2391.0,1243,71ST AND ASHLAND,41.76485938243,-87.6639401763
2394.0,2455,71ST AND ASHLAND,41.76501830556,-87.66385923013
2402.0,4148,119TH AND HALSTED,41.67772082925,-87.64205184498
2404.0,1755,119TH AND HALSTED,41.67792338913,-87.64198964584
2412.0,3474,87TH AND VINCENNES,41.73600656459,-87.64534181898
2413.0,6214,87TH AND VINCENNES,41.7361575463,-87.64542740049
2422.0,3979,111TH AND HALSTED,41.69226312343,-87.64252268763
2424.0,1311,111TH AND HALSTED,41.69246536342,-87.64244090106
2431.0,7362,99TH AND HALSTED,41.71411886809,-87.64314540818
2433.0,7218,99TH AND HALSTED,41.71432333701,-87.64306671422
2442.0,135,79TH AND KEDZIE,41.74972397173,-87.70253957167
2443.0,1185,79TH AND KEDZIE,41.74995200142,-87.70244847809
2452.0,1498,ASHLAND AND 87TH,41.73569698864,-87.66320954446
2454.0,3551,ASHLAND AND 87TH,41.73589861707,-87.6631287809
2461.0,475,STONEY ISLAND AND 79TH,41.75133970459,-87.58563226565
2462.0,872,STONEY ISLAND AND 79TH,41.75146060317,-87.58597199296
2464.0,2908,STONEY ISLAND AND 79TH,41.75161152327,-87.58559228429
2472.0,2064,ASHLAND AND 95TH,41.72116061205,-87.66282813939
2473.0,5348,ASHLAND AND 95TH,41.72132441198,-87.66272415265
2481.0,1911,WESTERN AND 79TH,41.75005493365,-87.6829922029
2484.0,545,WESTERN AND 79TH,41.750220168,-87.68281769254
2492.0,1056,PULASKI AND 79TH,41.74933900008,-87.72205209092
2494.0,939,PULASKI AND 79TH,41.74967935883,-87.72197834524
2502.0,8855,LAFAYETTE AND 87TH,41.73616511009,-87.625587569
2503.0,12990,LAFAYETTE AND 87TH,41.7363760366,-87.62562131093
2522.0,1386,JEFFERY AND 95TH,41.72237590704,-87.57549990333
2523.0,1046,JEFFERY AND 95TH,41.72257947313,-87.5752925225
2541.0,1283,79TH AND HALSTED,41.75054955944,-87.64418836784
2543.0,3182,79TH AND HALSTED,41.75075115747,-87.64410779301
2571.0,466,COTTAGE GROVE AND 71ST,41.76580035132,-87.60572912699
2572.0,2437,COTTAGE GROVE AND 71ST,41.76580035132,-87.60572912699
2581.0,1982,HALSTED AND 95TH,41.72136506078,-87.64335804234
2582.0,855,HALSTED AND 95TH,41.72136506078,-87.64335804234
2621.0,5694,75TH AND STATE,41.75809217638,-87.62490222825
2624.0,6139,75TH AND STATE,41.75807411098,-87.62467165835
2631.0,5887,STONEY ISLAND AND 76TH,41.7568971726,-87.58623428507
2632.0,5518,STONEY ISLAND AND 76TH,41.7568971726,-87.58623428507
2651.0,4582,STATE AND 79TH,41.75091813832,-87.62469012252
2654.0,10215,STATE AND 79TH,41.75085209551,-87.6244638321
2672.0,3105,WESTERN AND MARQUETTE,41.77188402771,-87.68358840206
2674.0,1298,WESTERN AND MARQUETTE,41.7720862141,-87.68350885782
2701.0,1990,DAMEN AND 63RD,41.77922692069,-87.67405273138
2702.0,2290,DAMEN AND 63RD,41.77922692069,-87.67405273138
2712.0,3042,63RD AND STATE,41.78000827741,-87.62552251192
2714.0,3306,63RD AND STATE,41.77994910457,-87.62528955334
2721.0,8870,STONY ISLAND/CORNELL AND 67TH,41.77329289585,-87.58644236831
2731.0,11338,STONY ISLAND/CORNELL AND 67TH,41.7732514896,-87.58522459968
3002.0,628,NORTHWEST HIGHWAY AND FOSTER,41.97515371887,-87.76862036015
3003.0,2064,FOSTER AND NORTHWEST HIGHWAY,41.97579141968,-87.76927689293
3022.0,1664,MILWAUKEE AND CENTRAL,41.97535027478,-87.76763298459
3032.0,590,CENTRAL AND MILWAUKEE,41.97653221135,-87.76862166096
3041.0,3528,MICHIGAN AND JACKSON,41.87821734531,-87.6244558403
3043.0,995,MICHIGAN AND JACKSON,41.87839012377,-87.62423731128
3052.0,8590,LAKE AND UPPER WACKER,41.88608222062,-87.63687014414
3072.0,2091,DAMEN AND ELSTON,41.92573171369,-87.67808889623
3082.0,2844,MICHIGAN AND ONTARIO,41.8934322742,-87.62436371928
3084.0,1198,MICHIGAN AND ONTARIO,41.89342614671,-87.62536202457
